,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,Florida
9,Georgia
10,Hawaii
11,Idaho
12,Illinois
13,Iowa
14,Kansas
15,Kentucky
16,Louisiana
17,Maine
18,Maryland
19,Massachusetts
20,Michigan
21,Minnesota
22,Mississippi
23,Missouri
24,Montana
25,Nebraska
26,Nevada
27,New hampshire
28,New jersey
29,New mexico
30,New york
31,North carolina
32,North dakota
33,Oklahoma
34,Oregon
35,Pennsylvania
36,Rhode island
37,South carolina
38,South dakota
39,Tennessee
40,Utah
41,Vermont
42,Virginia
43,Washington
44,West virginia
45,Wisconsin
46,Wyoming
